<http://geoknow.eu/wp5/actor/100069>	Essener Str. 7, Meppen, Germany	success	[{"place_id":"2450577751","licence":"Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright","osm_type":"way","osm_id":"31898954","boundingbox":["52.7510639","52.7518261","7.2716303","7.2839496"],"lat":"52.7512336","lon":"7.2774327","display_name":"Essener Straße, Meppen, Landkreis Emsland, Niedersachsen, Deutschland, European Union","class":"highway","type":"residential","importance":0.7}]
<http://geoknow.eu/wp5/actor/100116>	Gehrenkamp 3, Isenbüttel, Germany	success	[{"place_id":"26017712","licence":"Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright","osm_type":"way","osm_id":"11390694","boundingbox":["52.4423475","52.4451562","10.5869377","10.5939576"],"lat":"52.4444135","lon":"10.5901795","display_name":"Gehrenkamp, Isenbüttel, Landkreis Gifhorn, Niedersachsen, 38550, Deutschland","class":"highway","type":"residential","importance":0.9}]
<http://geoknow.eu/wp5/actor/100224>	Schweppenkamp 1, Goslar, Germany	success	[{"place_id":"44352802","licence":"Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright","osm_type":"way","osm_id":"37416598","boundingbox":["51.9341829","51.9364317","10.4192506","10.4206271"],"lat":"51.9351786","lon":"10.4201123","display_name":"Schweppenkamp, Baßgeige, Goslar, Landkreis Goslar, Niedersachsen, 38644, Deutschland, Europe","class":"highway","type":"residential","importance":0.6}]
<http://geoknow.eu/wp5/actor/102542>	Lunapark 2, Oebisfelde, Germany	success	[]
<http://geoknow.eu/wp5/actor/100132>	Philipsbornstr. 1, Hannover, Germany	success	[{"place_id":"2433523206","licence":"Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright","osm_type":"node","osm_id":"1954474939","boundingbox":[52.3897352,52.3898352,9.731557,9.731657],"lat":"52.3897852","lon":"9.731607","display_name":"1, Philipsbornstraße, Vahrenwald, Vahrenwald-List, Hannover, Region Hannover, Niedersachsen, 30165, Deutschland","class":"place","type":"house","importance":0.501}]
<http://geoknow.eu/wp5/actor/100136>	Alfred-Teves-Straße 11, Gifhorn, Germany	success	[{"place_id":"27250810","licence":"Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright","osm_type":"way","osm_id":"13270531","boundingbox":["52.4660375","52.4662667","10.5391195","10.5423252"],"lat":"52.4661907","lon":"10.5410942","display_name":"Alfred-Teves-Straße, Gifhorn, Landkreis Gifhorn, Niedersachsen, 38518, Deutschland, European Union","class":"highway","type":"residential","importance":1.2}]
<http://geoknow.eu/wp5/actor/570181>	Potthoffstrasse 11, Dresden, Germany	success	[{"place_id":"2463386824","licence":"Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright","osm_type":"way","osm_id":"4605205","boundingbox":["51.0530229","51.0532454","13.7069157","13.7072678"],"lat":"51.05313415","lon":"13.7070911121544","display_name":"Potthoffstraße, Friedrichstadt, Altstadt, Dresden, Sachsen, 01159, Deutschland, European Union","class":"highway","type":"residential","importance":0.6}]
<http://geoknow.eu/wp5/actor/100205>	Lutherstr. 87, Chemnitz, Germany	success	[{"place_id":"2460961510","licence":"Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright","osm_type":"way","osm_id":"205670107","boundingbox":["50.8179297","50.8199733","12.9241253","12.9265851"],"lat":"50.8189515","lon":"12.9255592732296","display_name":"87, Lutherstraße, Bernsdorf, Chemnitz, Sachsen, 09126, Deutschland, European Union","class":"place","type":"house","importance":0.501}]
<http://geoknow.eu/wp5/actor/100171>	Am Bahnhof 5, Dodendorf, Germany	success	[{"place_id":"1741601","licence":"Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright","osm_type":"node","osm_id":"334642567","boundingbox":[52.0483622,52.0484622,11.6119121,11.6120121],"lat":"52.0484122","lon":"11.6119621","display_name":"DKM, 5, Am Bahnhof, Sülzetal, Börde, Sachsen-Anhalt, 39171, Deutschland","class":"place","type":"house","importance":0.701}]
<http://geoknow.eu/wp5/actor/100080>	Straße der Einheit 45/47, Bernsbach, Germany	success	[{"place_id":"33697740","licence":"Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright","osm_type":"way","osm_id":"19106436","boundingbox":["50.5770532","50.5831477","12.7617098","12.7710761"],"lat":"50.580203","lon":"12.7665844","display_name":"Straße der Einheit, Oberpfannenstiel, Bernsbach, Erzgebirgskreis, Sachsen, 08315, Deutschland, European Union","class":"highway","type":"tertiary","importance":1.2},{"place_id":"2485487619","licence":"Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright","osm_type":"way","osm_id":"244005715","boundingbox":["50.5775805","50.5779491","12.7697517","12.7700163"],"lat":"50.5778512","lon":"12.769817","display_name":"Straße der Einheit, Oberpfannenstiel, Bernsbach, Erzgebirgskreis, Sachsen, 08315, Deutschland, European Union","class":"highway","type":"service","importance":1.175}]
