FIRMA;GRUPPE;HR;FRACHTBRIEF;STATUS;ERF_ART;DATUM;ABSENDER;ABS_NAME;ABS_STRASSE;ABS_LAND;ABS_PLZ;ABS_ORT;ABW_LAD;ABS_BEM;EMPFAENGER;EMPF_NAME;EMPF_STRASSE;EMPF_LAND;EMPF_PLZ;EMPF_ORT;ABW_ENTL;EMPF_BEM;ABL_STELLE;ZEICHEN;ANZAHL1;VERP1;ANZAHL2;VERP2;PAL_KLASSE;LG;PAL_BUH;INHALT;BRUTTO;TARA;LM;LMJ;RM;LAGERO;UNR;GGVS;IMO;ADR;HL_BEREICH;HL_UNTERN;HLU_NAME;HL_REISE;HL_DATUM;HL_LKW;VL_BEREICH;VL_UNTERN;VLU_NAME;VL_REISE;VL_DATUM;VL_LKW;FRANKATUR;TRART;ID
1;VW;H;8756979;;FBR;12.06.2013;560004;Audi AG;NSU-Strasse 1;D;74172;Neckarsulm;;;184656;Syncreon Deutschland GmbH;Lise-Meitner-Str.21;D;31515;Wunstorf;;;1;1;1;LDG;;;0;;;;1500;1;0;13,6;0;;;;;;FV;605840;;317;13.06.2013;GF-BC861;NV;;;;12.06.2013;;03;GSL;0
1;VW;H;8756979;;FBR;12.06.2013;560004;Audi AG;NSU-Strasse 1;D;74172;Neckarsulm;;;184656;Syncreon Deutschland GmbH;Lise-Meitner-Str.21;D;31515;Wunstorf;;;1;1;1;LDG;;;0;;;;1500;1;0;13,6;0;;;;;;FV;605840;;317;13.06.2013;GF-BC861;NV;;;;12.06.2013;;03;GSL;1
1;VW;H;8754364;A;AVI;12.06.2013;102791;DBW Metallverarbeitungs GmbH;Am Gewerbepark 1;D;17373;Ueckermünde;185087;Nicht stapelfaehig! |;533001;Volkswagen Poznan Sp. z.o.o.;UL. Rabowicka 10/16;PL;62-020;Swarzedz;;;O01T4;1;6;006280;;;;;;;102;1;0;0;0,396;;;;;;FV;600012;;060;13.06.2013;PO-672TV;NV;603334;;081;12.06.2013;GF-RS2066;01;GSV;2
1;VW;H;8754364;A;AVI;12.06.2013;102791;DBW Metallverarbeitungs GmbH;Am Gewerbepark 1;D;17373;Ueckermünde;185087;Nicht stapelfaehig! |;533001;Volkswagen Poznan Sp. z.o.o.;UL. Rabowicka 10/16;PL;62-020;Swarzedz;;;O01T4;2;1;0000PAL;;;0;;;;0;1;0,025;0,025;0,144;;;;;;FV;600012;;060;13.06.2013;PO-672TV;NV;603334;;081;12.06.2013;GF-RS2066;01;GSV;3
1;VW;H;8754381;A;AVI;12.06.2013;102791;DBW Metallverarbeitungs GmbH;Am Gewerbepark 1;D;17373;Ueckermünde;185087;Nicht stapelfaehig! |;533001;Volkswagen Poznan Sp. z.o.o.;UL. Rabowicka 10/16;PL;62-020;Swarzedz;;;O01T5;1;3;0015SCH;;;;;;;458;1;0,6;0,4;2,592;;;;;;FV;600012;;060;13.06.2013;PO-672TV;NV;603334;;081;12.06.2013;GF-RS2066;01;GSV;4
1;VW;H;8754381;A;AVI;12.06.2013;102791;DBW Metallverarbeitungs GmbH;Am Gewerbepark 1;D;17373;Ueckermünde;185087;Nicht stapelfaehig! |;533001;Volkswagen Poznan Sp. z.o.o.;UL. Rabowicka 10/16;PL;62-020;Swarzedz;;;O01T5;2;3;0000PAL;;;0;;;;0;1;0,075;0,075;0,432;;;;;;FV;600012;;060;13.06.2013;PO-672TV;NV;603334;;081;12.06.2013;GF-RS2066;01;GSV;5
1;VW;H;8745122;;AVI;13.06.2013;560001;Audi AG;Ettinger Straße;D;85049;Ingolstadt;;Tour-Nr.: 13084SCH6447 / Ladest.: GRL / Wernigerode Verl;100000;Schnellecke Transportlogistik GmbH;Hansestrasse 60;D;38112;Braunschweig;;;1;1;1;LDG;;;0;;;Leergut;24000;1;0;13,6;0;;;;;;FV;;;;13.06.2013;;NV;605840;;096;13.06.2013;WOB-HS183;03;GSL;6
1;VW;H;8745122;;AVI;13.06.2013;560001;Audi AG;Ettinger Straße;D;85049;Ingolstadt;;Tour-Nr.: 13084SCH6447 / Ladest.: GRL / Wernigerode Verl;100000;Schnellecke Transportlogistik GmbH;Hansestrasse 60;D;38112;Braunschweig;;;1;1;1;LDG;;;0;;;Leergut;24000;1;0;13,6;0;;;;;;FV;;;;13.06.2013;;NV;605840;;096;13.06.2013;WOB-HS183;03;GSL;7
1;VW;H;8785730;;FBR;13.06.2013;152771;Theysohn Kunststoff GmbH;J.F. Kennedy-Straße 50;D;38228;Salzgitter;;;511014;Schnellecke Logistics;Hafenstr. 2;D;38440;Wolfsburg;;;888C6;190481;21;VW0012;;;;;;Automobilteile;2039;1008;3,57;3,57;4,158;;;;;;FV;602281;;208;13.06.2013;Z-M363;NV;;;;13.06.2013;;01;GSV;8
1;VW;H;8785730;;FBR;13.06.2013;152771;Theysohn Kunststoff GmbH;J.F. Kennedy-Straße 50;D;38228;Salzgitter;;;511014;Schnellecke Logistics;Hafenstr. 2;D;38440;Wolfsburg;;;888C6;190481;;;147;520941;;;;;;294;0;;9,849;;;;;;FV;602281;;208;13.06.2013;Z-M363;NV;;;;13.06.2013;;01;GSV;9
